video_id,view_count,like_count,comment_count,duration_seconds,Year,Month,Day,Weekday,Time,Cleaned_Title,Duration_Category
wJiJXD7MVoY,13783,812,134,1279.0,2024,6,18,Tuesday,12:00:06,Is the Economy on the Brink of a Recession Lets Look at the Data,Long
BzwAZ1k3WEY,9288,386,9,1007.0,2024,6,11,Tuesday,12:00:10,Top 5 Most Common Excel Functions in Excel,Medium
5q2u8__sVhs,6593,239,17,844.0,2024,6,4,Tuesday,12:00:09,5 Awesome Excel Functions Youve Probably Never Heard Of,Medium
UJbNEH0_nGY,7847,241,11,994.0,2024,5,28,Tuesday,12:00:23,How to Create Custom Functions in Excel Lambda Functions,Medium
oz2K4HUNMW4,16649,457,28,992.0,2024,5,21,Tuesday,12:00:53,Top 5 Most Popular Functions In Microsoft Excel,Medium
Y-4ri9QjsTI,6008,92,10,2740.0,2024,5,14,Tuesday,12:00:28,Infrastructure of Analyst Builder Entire Tech Stack Part 3,Long
F5v2dRYU5IA,114813,3565,86,7480.0,2024,5,7,Tuesday,15:16:53,2 Hour Data Analyst Interview Masterclass Interview Better Than The Competition,Long
_R6K1aNtKpE,2564,65,11,2707.0,2024,5,7,Tuesday,12:00:30,Challenges of Creating Analyst Builder Challenges of a Startup Part 2,Long
5tKmTdvEAVk,6809,215,35,1367.0,2024,4,30,Tuesday,12:00:07,How We Started Analyst Builder How We Created It Part 1,Long
QYd-RtK58VQ,139003,3230,152,1964.0,2024,4,23,Tuesday,12:00:21,MySQL Exploratory Data Analysis Full Project,Long
c5ko0sedE7k,5199,229,13,4996.0,2024,4,18,Thursday,18:35:41,750k Subscriber Livestream Giveaways Songs QA,Long
4UltKCnnnTA,337604,7199,1022,3071.0,2024,4,16,Tuesday,12:00:05,Data Cleaning in MySQL Full Project,Long
BV5ckMNNvi4,9112,287,86,3374.0,2024,4,9,Tuesday,12:00:08,How to get Promoted as a Data Analyst Alex The Analyst Show Episode 26,Long
QMUZ5HfWMRc,124780,3967,149,882.0,2024,4,2,Tuesday,12:00:19,Triggers and Events in MySQL Advanced MySQL Series,Medium
7b8ViCqD9JM,30286,2220,35,52.0,2024,3,27,Wednesday,12:19:35,How to give up on the job search fast,Short
7vnxpcqmqNQ,130874,2469,88,757.0,2024,3,26,Tuesday,12:00:12,Stored Procedures in MySQL Advanced MySQL Series,Medium
uEk07jXdKOo,87862,1822,71,466.0,2024,3,19,Tuesday,12:00:56,Temp Tables in MySQL Advanced MySQL Series,Medium
