video_id,video_title,published_at,view_count,like_count,comment_count,duration_seconds
VRmXto2YA2I,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,2023-04-04T11:30:10Z,128742,3091,137,665.0
6yNsc7JVPJE,Top 5 Biggest Mistakes Beginner Data Analysts Make,2023-03-28T11:30:04Z,39808,1797,82,534.0
mBCG9J1TVTc,Indexes in Pandas | Python Pandas Tutorials,2023-03-21T11:30:30Z,80805,1814,53,682.0
WizLaDdsHUs,Create the Perfect Data Analyst Resume | Free Templates!,2023-03-14T11:30:10Z,241424,6490,255,1057.0
kB7FV-ijdqE,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,2023-03-07T12:30:30Z,130372,2685,69,709.0
dFA0E-6xT_M,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,2023-03-02T16:27:46Z,11214,392,33,5296.0
dUpyC40cF6Q,Reading in Files in Pandas | Python Pandas Tutorials,2023-02-28T12:30:18Z,264928,4256,125,1157.0
gs0FNQR0njI,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,2023-02-21T12:32:29Z,85876,1865,101,1011.0
C75TROiiEa0,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2023-02-14T12:30:08Z,449551,8305,221,1867.0
rGx1QNdYzvs,FREE Data Analyst Bootcamp!!,2023-02-07T12:30:11Z,2173592,50387,1965,412.0
CUBfrdDwznQ,How to Become a Data Analyst in 2023 (Completely FREE!),2023-01-31T12:30:06Z,1404241,45449,1418,839.0
L-QnW_BZT3c,Live Portfolio Review with Alex the Analyst!  | Live Webinar,2023-01-25T17:14:49Z,17831,633,23,4217.0
S76iS03nGis,DIY Data Analyst Curriculum using Udemy (Under $75),2023-01-24T12:30:13Z,41794,1478,120,769.0
RBEgsEVO3T8,Reviewing Maven Analytics Free Portfolio Website,2023-01-17T12:30:08Z,29677,863,49,1356.0
gCG07l6Fu-U,5 Study Hacks for Beginner Data Analysts! | Live Webinar,2023-01-16T17:25:08Z,46669,1353,36,4650.0
DXwFsxCtukg,DIY Data Analyst Curriculum using Coursera in 2023,2023-01-10T12:30:03Z,65746,3030,222,752.0
ey1VNjU0YbM,Building a BMI Calculator with Python | Python Projects for Beginners,2023-01-03T12:30:12Z,106861,2158,92,863.0
0MKcCHrTo0c,"Reading, Writing, and Appending Files in Python | Python for Beginners",2022-12-27T13:00:00Z,12623,337,13,564.0
bVJfQAe-UP4,Why I Quit my 125k Analytics Job,2022-12-20T12:00:33Z,158268,8700,855,463.0
_2OknmkngkQ,Data Analyst Q/A Livestream + Special Guest! | December Livestream,2022-12-17T14:16:05Z,5113,166,15,4968.0
B63bN2cLVLM,Converting Data Types in Python | Python for Beginners,2022-12-13T12:00:06Z,63950,1644,40,396.0
zvzjaqMBEso,Functions in Python | Python for Beginners,2022-12-06T12:00:36Z,106343,2244,45,764.0
ECduJk00mUU,While Loops in Python | Python for Beginners,2022-11-29T12:00:07Z,101220,2393,40,340.0
zmIdC0_0BgY,For Loops in Python | Python for Beginners,2022-11-22T12:00:48Z,92855,2019,38,557.0
eP8-mo5jRrY,Data Analyst Q/A Livestream | November Livestream,2022-11-16T02:06:22Z,6314,199,18,3737.0
-BOBedcjySI,If Else Statements in Python | Python for Beginners,2022-11-15T12:00:00Z,78380,1859,33,400.0
lPVke-p4S7s,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",2022-11-08T12:00:35Z,78164,1902,22,435.0
ppsCxnNm-JI,Data Types in Python | Python for Beginners,2022-11-01T11:00:37Z,184686,4007,91,1318.0
rVhHGPDzEck,Data Analyst Q/A Livestream | October Livestream,2022-10-31T01:22:29Z,5747,181,11,4498.0
pHOH7UfOhbE,Variables in Python | Python for Beginners,2022-10-25T11:00:27Z,170228,3492,83,797.0
sXHIIW3Wt84,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,2022-10-19T10:56:23Z,5280,242,21,5064.0
WUeBzT43JyY,Installing Jupyter Notebooks/Anaconda | Python for Beginners,2022-10-18T11:00:30Z,551095,7786,208,603.0
DVs9u15htXU,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,2022-10-13T11:00:07Z,9703,333,21,1326.0
zW3qJUeJLWc,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,2022-10-11T11:00:42Z,7689,336,31,1466.0
